                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5093,                 4.0857,                 2.3445,                0.00233,                0.33333,                0.06236,                0.03711,                 2.1709,                 3.6307,                  2.094,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.3818,                 2.9021,                 2.5175,                0.38527,                0.37416,                0.45334,                0.29911,                  2.117,                 2.6399,                 2.0139,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                 1.6235,                 3.1322,                 1.9592,                0.95469,                0.42297,                0.47834,                0.30784,                 1.9607,                  2.888,                 1.8811,             0.00011206,             0.00011206,             0.00011206
                      4,                 1.6844,                  1.602,                  1.782,                0.76756,                0.80013,                0.82265,                0.48634,                 1.6376,                 1.9105,                 1.7597,             0.00015252,             0.00015252,             0.00015252
                      5,                 1.1752,                 1.7809,                 1.6024,                0.81055,                0.97816,                0.98167,                0.61049,                 1.3882,                  1.954,                 1.5618,             0.00019214,             0.00019214,             0.00019214
                      6,                 1.5516,                 1.3706,                  1.702,                0.90754,                0.91667,                0.95452,                0.52053,                 1.4607,                 1.8524,                 1.6171,              0.0002309,              0.0002309,              0.0002309
                      7,                 1.5305,                 1.5325,                 1.7892,                0.69531,                0.91667,                0.87909,                0.48134,                 1.6335,                 1.4646,                 1.7699,             0.00026882,             0.00026882,             0.00026882
                      8,                 1.5286,                 1.4118,                 1.8009,                0.81012,                0.91293,                0.92256,                0.49373,                  1.501,                 1.5022,                 1.6573,             0.00030589,             0.00030589,             0.00030589
                      9,                 1.7668,                 1.7033,                 2.0195,                0.86862,                0.86111,                0.95389,                0.67901,                 1.1536,                 1.0381,                 1.4076,             0.00034211,             0.00034211,             0.00034211
                     10,                 1.3192,                 1.3572,                 1.5721,                0.84372,                0.91667,                0.95389,                0.65597,                 1.2141,                 1.3913,                  1.423,             0.00037749,             0.00037749,             0.00037749
                     11,                 1.4561,                 1.3368,                 1.5969,                0.93575,                0.94444,                0.98738,                 0.5373,                 1.4512,                   1.05,                 1.5957,             0.00041201,             0.00041201,             0.00041201
                     12,                 1.2541,                  1.316,                 1.4666,                0.94063,                0.98849,                  0.995,                0.59842,                  1.444,                  1.124,                 1.5942,             0.00044568,             0.00044568,             0.00044568
