                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.842,                 4.6366,                 1.3381,                0.00166,                0.33333,                0.00361,                0.00264,                 1.4439,                 4.3394,                  1.187,              5.716e-05,              5.716e-05,              5.716e-05
                      1,                 1.7376,                 4.2758,                 1.2781,                0.52488,                0.62677,                0.74528,                0.49117,                 1.4813,                 1.5056,                 1.0912,             0.00012734,             0.00012734,             0.00012734
                      2,                 1.3599,                 1.3115,                 1.0519,                0.98184,                      1,                  0.995,                  0.636,                 1.2439,                 1.1688,                 1.0078,              0.0001961,              0.0001961,              0.0001961
                      3,                  1.256,                0.84823,                 1.0329,                 0.9819,                      1,                  0.995,                0.64321,                 1.2911,                0.84022,                 1.0157,             0.00026345,             0.00026345,             0.00026345
                      4,                 1.3139,                0.81096,                 1.0028,                0.97497,                      1,                  0.995,                0.68104,                 1.1452,                0.72479,                0.95951,             0.00032938,             0.00032938,             0.00032938
                      5,                 1.1879,                0.76874,                0.98874,                0.97868,                0.99936,                  0.995,                0.67771,                 1.1409,                0.68683,                0.95226,              0.0003939,              0.0003939,              0.0003939
                      6,                 1.1869,                0.74211,                 0.9646,                0.96896,                      1,                  0.995,                0.74817,                 1.0209,                0.62757,                0.92889,               0.000457,               0.000457,               0.000457
                      7,                 1.1581,                0.67696,                0.97514,                0.98804,                      1,                  0.995,                0.72877,                0.99893,                0.57482,                0.92389,             0.00051869,             0.00051869,             0.00051869
                      8,                 1.1656,                0.73093,                0.97648,                0.98502,                      1,                  0.995,                0.69208,                 1.1513,                0.71254,                0.94502,             0.00057896,             0.00057896,             0.00057896
                      9,                 1.1751,                0.69186,                  1.001,                 0.9534,                      1,                  0.995,                  0.705,                 1.1566,                0.80353,                0.95073,             0.00063782,             0.00063782,             0.00063782
                     10,                 1.1831,                0.69369,                0.97956,                0.98238,                0.99474,                  0.995,                0.73229,                 1.1351,                0.70083,                0.96109,             0.00069527,             0.00069527,             0.00069527
                     11,                 1.1002,                0.65046,                0.95254,                 0.9512,                      1,                  0.995,                0.70683,                  1.111,                 0.6894,                0.94599,              0.0007513,              0.0007513,              0.0007513
                     12,                 1.2051,                0.66008,                 1.0081,                0.98534,                      1,                  0.995,                0.70704,                 1.1497,                0.65877,                0.95617,             0.00080591,             0.00080591,             0.00080591
                     13,                 1.1742,                0.64561,                0.95662,                0.98598,                      1,                  0.995,                 0.7284,                 1.1019,                0.64373,                0.94658,             0.00085911,             0.00085911,             0.00085911
                     14,                 1.1084,                0.66616,                0.95195,                0.98424,                0.99297,                  0.995,                0.68636,                 1.2655,                0.78014,                 1.0014,              0.0009109,              0.0009109,              0.0009109
                     15,                 1.1361,                0.63734,                0.99155,                0.82226,                      1,                  0.995,                0.69163,                  1.156,                0.94594,                0.97096,             0.00096127,             0.00096127,             0.00096127
                     16,                 1.0897,                0.60266,                0.95933,                0.81161,                      1,                0.97204,                0.67824,                 1.1661,                 1.0696,                0.97941,              0.0010102,              0.0010102,              0.0010102
                     17,                 1.0828,                0.60844,                0.96137,                0.95411,                      1,                  0.995,                 0.6925,                 1.1299,                0.81622,                0.96059,              0.0010578,              0.0010578,              0.0010578
                     18,                  1.094,                0.58004,                0.96797,                0.97237,                      1,                  0.995,                  0.719,                 1.0852,                0.70175,                0.94969,              0.0011039,              0.0011039,              0.0011039
                     19,                 1.1851,                0.58744,                0.97049,                0.98468,                      1,                  0.995,                0.72653,                 1.0822,                0.65942,                0.95998,              0.0011486,              0.0011486,              0.0011486
                     20,                 1.0976,                0.60083,                0.97961,                0.97912,                      1,                  0.995,                0.70699,                 1.0903,                0.68727,                0.95836,              0.0011461,              0.0011461,              0.0011461
                     21,                 1.1193,                0.60934,                0.98318,                0.96233,                0.99278,                  0.995,                0.69743,                 1.1373,                 0.7297,                0.99664,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.0731,                0.57032,                0.96138,                0.96277,                      1,                  0.995,                0.71326,                 1.1034,                 0.6731,                0.98697,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.0306,                0.54516,                0.97088,                0.96532,                0.98178,                  0.995,                0.70564,                 1.0335,                0.59075,                0.98296,              0.0011178,              0.0011178,              0.0011178
                     24,                  1.058,                0.57344,                0.97827,                0.93957,                0.97686,                  0.995,                 0.7141,                 1.0677,                0.64598,                 1.0148,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0504,                0.58379,                0.96894,                0.96152,                0.97618,                  0.995,                 0.7322,                 1.0538,                0.53966,                0.98635,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.0422,                0.54431,                0.95277,                0.96369,                0.97441,                  0.995,                 0.7345,                 1.0391,                0.57464,                0.98534,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.0881,                0.54757,                 0.9737,                0.95054,                0.97222,                0.99295,                0.70041,                 1.0735,                0.61352,                0.99314,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.0577,                0.54538,                0.95401,                0.95977,                0.97424,                  0.995,                0.74229,                0.97164,                  0.578,                0.93689,               0.001047,               0.001047,               0.001047
                     29,                0.97982,                0.52227,                0.95194,                0.97909,                0.97541,                  0.995,                 0.7461,                0.94141,                0.56389,                0.93349,              0.0010329,              0.0010329,              0.0010329
                     30,                0.99392,                  0.515,                0.93331,                0.98152,                0.97605,                  0.995,                 0.7539,                0.95045,                0.54737,                0.93877,              0.0010187,              0.0010187,              0.0010187
