                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7638,                 4.4356,                 1.3941,                0.36454,                0.12783,                0.14392,                0.06978,                 1.4717,                 3.8235,                  1.247,              8.574e-05,              8.574e-05,              8.574e-05
                      1,                 1.5334,                 2.5793,                 1.2148,                0.99469,                0.93611,                0.99042,                 0.6233,                 1.3937,                  1.177,                 1.1307,             0.00018393,             0.00018393,             0.00018393
                      2,                 1.3267,                 1.0783,                 1.0655,                0.97097,                      1,                  0.995,                0.62759,                 1.3739,                0.73604,                 1.1115,             0.00028014,             0.00028014,             0.00028014
                      3,                 1.1998,                0.84992,                 1.0137,                0.98509,                      1,                  0.995,                0.64979,                 1.2643,                0.72388,                 1.0747,             0.00037437,             0.00037437,             0.00037437
                      4,                 1.1504,                0.75031,                0.96969,                0.96187,                0.99752,                  0.995,                0.66038,                 1.2707,                 0.8777,                 1.0743,             0.00046662,             0.00046662,             0.00046662
                      5,                 1.0135,                 1.2638,                0.86533,                0.94716,                0.99529,                  0.995,                0.68672,                 1.1881,                0.74967,                 1.0369,             0.00055689,             0.00055689,             0.00055689
                      6,                 1.0548,                  2.026,                0.86815,                0.99257,                      1,                  0.995,                0.59809,                 1.4121,                0.73667,                 1.1389,             0.00064518,             0.00064518,             0.00064518
                      7,                 1.3312,                0.80569,                 1.1593,                0.97005,                0.99807,                  0.995,                0.66424,                 1.2257,                0.93742,                 1.0711,             0.00073148,             0.00073148,             0.00073148
                      8,                 1.2073,                0.70444,                 1.0077,                0.88271,                0.98257,                  0.995,                0.64941,                 1.2977,                 0.8658,                 1.0989,             0.00081581,             0.00081581,             0.00081581
                      9,                 1.1151,                0.67449,                0.99653,                0.85272,                      1,                  0.995,                0.68758,                 1.1522,                 1.0554,                  1.043,             0.00089816,             0.00089816,             0.00089816
                     10,                 1.1569,                0.68467,                0.97972,                0.86379,                      1,                  0.995,                0.67643,                 1.2055,                 1.2528,                 1.0661,             0.00097852,             0.00097852,             0.00097852
                     11,                 1.1791,                0.66903,                0.97446,                0.93618,                0.96667,                0.96688,                0.65254,                 1.1956,                0.73197,                 1.0577,              0.0010569,              0.0010569,              0.0010569
                     12,                  1.132,                0.64879,                0.98733,                0.86958,                      1,                 0.9706,                0.64827,                 1.1951,                0.84759,                 1.0711,              0.0011333,              0.0011333,              0.0011333
                     13,                 1.1806,                0.71754,                 1.0941,                0.87151,                0.98027,                0.99197,                0.65969,                 1.1765,                0.74914,                 1.0617,              0.0012077,              0.0012077,              0.0012077
                     14,                 1.0766,                0.66056,                 1.0099,                0.98335,                      1,                  0.995,                0.69643,                   1.16,                0.81651,                 1.0581,              0.0012309,              0.0012309,              0.0012309
                     15,                0.93989,                0.77749,                0.84303,                0.97494,                      1,                  0.995,                0.69144,                 1.1114,                0.81076,                 1.0391,              0.0012309,              0.0012309,              0.0012309
                     16,                0.96047,                0.62362,                0.95651,                0.98698,                      1,                  0.995,                 0.6833,                 1.1143,                0.85139,                 1.0573,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1116,                0.65555,                 1.0417,                0.98251,                      1,                  0.995,                0.71284,                 1.1027,                0.64126,                 1.0441,              0.0012026,              0.0012026,              0.0012026
